thick,E_00,nu_00,E_45,nu_45,E_90,nu_90,alloy

0.022, 10600, 0.321, 10700, 0.329, 10500, 0.310, al_24st
0.022, 10600, 0.323, 10500, 0.331, 10700, 0.323, al_24st

0.032, 10400, 0.329, 10400, 0.318, 10300, 0.322, al_24st
0.032, 10300, 0.319, 10500, 0.326, 10400, 0.330, al_24st

0.064, 10500, 0.323, 10400, 0.331, 10400, 0.327, al_24st
0.064, 10700, 0.328, 10500, 0.328, 10500, 0.320, al_24st

0.081, 10000, 0.315, 10000, 0.320,  9900, 0.314, al_24st
0.081, 10100, 0.312,  9900, 0.312, 10000, 0.316, al_24st
0.081, 10000, 0.311,    -1,    -1,  9900, 0.314, al_24st
