name,day
e-comm00-style,3
e-comm01-responding,5
e-comm02-story-basics,22
e-data00-basics,2
e-data01-isolate,7
e-data02-derive,9
e-data03-pivot-basics,13
e-data04-separate-unite,17
e-data05-join,20
e-data06-strings,23
e-data07-placeholders,25
e-data08-window,27
e-data09-readxl,29
e-data10-map,31
e-data11-factors,32
e-data12-simple-pipeline,33
e-data13-cleaning,43
e-data14-webplotdigitizer,45
e-data15-tabula,46
e-setup00-install,0
e-setup01-packages,1
e-setup02-functions,1
e-setup03-docs,2
e-setup04-rstudio-shortcuts,3
e-setup05-vectors,4
e-setup06-types,4
e-rep00-setup,0
e-rep01-intro-git,0
e-rep03-track,1
e-rep04-directories,11
e-rep05-collab,14
e-stat00-eda-basics,6
e-stat01-densities,12
e-stat02-probability,16
e-stat03-descriptive,19
e-stat04-population,28
e-stat05-inference,30
e-stat06-moment,34
e-stat07-clt,35
e-stat08-error-bias,37
e-stat09-hyp-intro,38
e-stat10-randomization,39
e-stat11-ci-pi,40
e-stat12-fit-dist,41
e-model00-source,42
e-model01-intro,47
e-model02-train-validate,48
e-model03-interp-warnings,50
e-model04-logistic,52
e-model05-roc,53
e-vis00-basics,5
e-vis01-bar-charts,8
e-vis02-histograms,10
e-vis03-boxplots,15
e-vis04-scatterplot,18
e-vis05-lines,21
e-vis06-themes,24
e-vis07-perception,26
e-vis08-multiples,36
e-vis09-improve,44
e-vis10-control-chart,54
