name,day,challenge
e-comm00-style,3,0
e-comm01-responding,5,0
e-comm02-story-basics,22,4
e-data00-basics,2,0
e-data01-isolate,7,1
e-data02-derive,9,2
e-data03-pivot-basics,13,2
e-data04-separate-unite,17,3
e-data05-join,20,4
e-data06-strings,23,4
e-data07-placeholders,25,5
e-data08-window,27,5
e-data09-readxl,29,5
e-data10-map,31,6
e-data11-factors,32,6
e-data12-simple-pipeline,33,6
e-data13-cleaning,43,9
e-data14-webplotdigitizer,45,10
e-data15-tabula,46,10
e-setup00-install,0,0
e-setup01-packages,1,0
e-setup02-functions,1,0
e-setup03-docs,2,0
e-setup04-rstudio-shortcuts,3,0
e-setup05-vectors,4,0
e-setup06-types,4,0
e-rep00-setup,0,0
e-rep01-intro-git,0,0
e-rep03-track,1,0
e-rep04-directories,11,2
e-rep05-collab,14,2
e-stat00-eda-basics,6,1
e-stat01-densities,12,2
e-stat02-probability,16,3
e-stat03-descriptive,19,3
e-stat04-population,28,6
e-stat05-inference,30,6
e-stat06-moment,34,7
e-stat07-clt,35,7
e-stat08-error-bias,37,8
e-stat09-hyp-intro,38,8
e-stat10-randomization,39,8
e-stat11-ci-pi,40,8
e-stat12-fit-dist,41,8
e-model00-source,42,8
e-model01-intro,47,11
e-model02-train-validate,48,11
e-model03-interp-warnings,50,11
e-model04-logistic,52,12
e-model05-roc,53,12
e-vis00-basics,3,0
e-vis01-bar-charts,8,1
e-vis02-histograms,10,2
e-vis03-boxplots,15,3
e-vis04-scatterplot,18,3
e-vis05-lines,21,4
e-vis06-themes,24,4
e-vis07-perception,26,5
e-vis08-multiples,36,7
e-vis09-improve,44,9
e-vis10-control-chart,54,12
